,DATE,day_of_week,Month
349752,2012-08-31,Friday,August
349753,2012-06-30,Saturday,June
349754,2012-04-27,Friday,April
349755,2012-06-16,Saturday,June
349756,2012-05-26,Saturday,May
349757,2012-04-11,Wednesday,April
349758,2012-04-26,Thursday,April
349759,2012-08-11,Saturday,August
349760,2012-03-25,Sunday,March
349761,2012-10-08,Monday,October
349762,2012-05-15,Tuesday,May
349763,2012-10-30,Tuesday,October
349766,2012-08-26,Sunday,August
349767,2012-09-14,Friday,September
349768,2012-02-27,Monday,February
349769,2012-07-06,Friday,July
349770,2012-08-24,Friday,August
349772,2012-01-23,Monday,January
349773,2012-04-07,Saturday,April
349774,2012-03-23,Friday,March
349775,2012-08-23,Thursday,August
349776,2012-05-01,Tuesday,May
349777,2012-09-20,Thursday,September
349778,2012-05-12,Saturday,May
349780,2012-06-26,Tuesday,June
349781,2012-05-24,Thursday,May
349782,2012-01-27,Friday,January
349783,2012-06-14,Thursday,June
349785,2012-09-29,Saturday,September
349786,2012-05-19,Saturday,May
349787,2012-10-02,Tuesday,October
349788,2012-06-25,Monday,June
349790,2012-12-13,Thursday,December
349791,2012-06-04,Monday,June
349792,2012-12-31,Monday,December
349793,2012-05-11,Friday,May
349794,2012-07-18,Wednesday,July
349795,2012-12-25,Tuesday,December
349799,2012-10-24,Wednesday,October
349800,2012-03-13,Tuesday,March
349802,2012-11-01,Thursday,November
349804,2012-07-13,Friday,July
349805,2012-06-06,Wednesday,June
349807,2012-04-10,Tuesday,April
349808,2012-01-28,Saturday,January
349809,2012-10-13,Saturday,October
349810,2012-01-20,Friday,January
349811,2012-11-30,Friday,November
349813,2012-07-02,Monday,July
349816,2012-11-17,Saturday,November
349817,2012-11-07,Wednesday,November
349818,2012-06-21,Thursday,June
349819,2012-11-15,Thursday,November
349820,2012-03-14,Wednesday,March
349821,2012-03-30,Friday,March
349823,2012-07-29,Sunday,July
349824,2012-01-03,Tuesday,January
349825,2012-02-14,Tuesday,February
349826,2012-10-26,Friday,October
349827,2012-10-29,Monday,October
349829,2012-03-16,Friday,March
349830,2012-11-02,Friday,November
349831,2012-02-11,Saturday,February
349835,2012-05-05,Saturday,May
349836,2012-03-19,Monday,March
349837,2012-11-09,Friday,November
349838,2012-12-27,Thursday,December
349839,2012-01-15,Sunday,January
349843,2012-03-22,Thursday,March
349844,2012-03-27,Tuesday,March
349846,2012-12-28,Friday,December
349847,2012-09-10,Monday,September
349848,2012-04-02,Monday,April
349849,2012-10-16,Tuesday,October
349851,2012-06-22,Friday,June
349853,2012-03-29,Thursday,March
349855,2012-01-21,Saturday,January
349858,2012-01-06,Friday,January
349860,2012-05-08,Tuesday,May
349861,2012-07-09,Monday,July
349862,2012-06-20,Wednesday,June
349863,2012-08-20,Monday,August
349864,2012-06-17,Sunday,June
349866,2012-04-23,Monday,April
349867,2012-08-16,Thursday,August
349870,2012-06-07,Thursday,June
349871,2012-05-30,Wednesday,May
349872,2012-11-06,Tuesday,November
349873,2012-04-17,Tuesday,April
349874,2012-04-08,Sunday,April
349875,2012-07-17,Tuesday,July
349876,2012-08-09,Thursday,August
349878,2012-08-17,Friday,August
349879,2012-05-20,Sunday,May
349880,2012-02-04,Saturday,February
349883,2012-08-25,Saturday,August
349884,2012-05-03,Thursday,May
349886,2012-02-12,Sunday,February
349888,2012-10-03,Wednesday,October
349889,2012-03-20,Tuesday,March
349890,2012-04-12,Thursday,April
349892,2012-06-19,Tuesday,June
349893,2012-11-21,Wednesday,November
349894,2012-12-14,Friday,December
349896,2012-11-08,Thursday,November
349899,2012-04-03,Tuesday,April
349902,2012-12-23,Sunday,December
349903,2012-12-21,Friday,December
349904,2012-09-03,Monday,September
349905,2012-02-29,Wednesday,February
349907,2012-08-13,Monday,August
349908,2012-10-05,Friday,October
349912,2012-03-15,Thursday,March
349914,2012-05-14,Monday,May
349915,2012-03-09,Friday,March
349919,2012-09-05,Wednesday,September
349920,2012-04-16,Monday,April
349922,2012-10-23,Tuesday,October
349926,2012-01-02,Monday,January
349927,2012-09-17,Monday,September
349929,2012-09-22,Saturday,September
349930,2012-09-07,Friday,September
349931,2012-02-21,Tuesday,February
349932,2012-12-05,Wednesday,December
349934,2012-09-08,Saturday,September
349935,2012-05-07,Monday,May
349937,2012-07-24,Tuesday,July
349938,2012-12-30,Sunday,December
349939,2012-12-16,Sunday,December
349942,2012-08-19,Sunday,August
349943,2012-03-24,Saturday,March
349944,2012-02-17,Friday,February
349947,2012-10-20,Saturday,October
349948,2012-10-31,Wednesday,October
349951,2012-12-17,Monday,December
349952,2012-01-13,Friday,January
349958,2012-09-12,Wednesday,September
349960,2012-04-05,Thursday,April
349961,2012-08-27,Monday,August
349963,2012-04-28,Saturday,April
349965,2012-08-03,Friday,August
349967,2012-09-27,Thursday,September
349968,2012-02-25,Saturday,February
349969,2012-09-01,Saturday,September
349971,2012-01-10,Tuesday,January
349972,2012-01-12,Thursday,January
349973,2012-11-19,Monday,November
349975,2012-02-13,Monday,February
349976,2012-03-17,Saturday,March
349981,2012-03-08,Thursday,March
349982,2012-03-28,Wednesday,March
349984,2012-11-04,Sunday,November
349985,2012-03-05,Monday,March
349987,2012-01-07,Saturday,January
349989,2012-12-19,Wednesday,December
349990,2012-03-10,Saturday,March
349991,2012-08-21,Tuesday,August
349992,2012-04-24,Tuesday,April
349994,2012-10-12,Friday,October
349996,2012-06-24,Sunday,June
349997,2012-08-10,Friday,August
349998,2012-12-26,Wednesday,December
350005,2012-11-13,Tuesday,November
350006,2012-03-11,Sunday,March
350007,2012-07-07,Saturday,July
350011,2012-11-16,Friday,November
350012,2012-06-08,Friday,June
350015,2012-09-09,Sunday,September
350019,2012-07-26,Thursday,July
350020,2012-04-09,Monday,April
350023,2012-06-28,Thursday,June
350024,2012-02-03,Friday,February
350026,2012-01-14,Saturday,January
350031,2012-01-24,Tuesday,January
350032,2012-07-30,Monday,July
350033,2012-11-24,Saturday,November
350037,2012-11-20,Tuesday,November
350038,2012-10-22,Monday,October
350040,2012-11-29,Thursday,November
350041,2012-07-08,Sunday,July
350042,2012-05-04,Friday,May
350043,2012-01-17,Tuesday,January
350045,2012-06-09,Saturday,June
350048,2012-01-09,Monday,January
350049,2012-04-15,Sunday,April
350051,2012-08-04,Saturday,August
350052,2012-01-04,Wednesday,January
350054,2012-12-09,Sunday,December
350057,2012-04-18,Wednesday,April
350058,2012-10-04,Thursday,October
350059,2012-11-23,Friday,November
350062,2012-09-28,Friday,September
350064,2012-04-22,Sunday,April
350068,2012-10-07,Sunday,October
350075,2012-06-29,Friday,June
350078,2012-03-12,Monday,March
350084,2012-07-28,Saturday,July
350091,2012-10-09,Tuesday,October
350093,2012-12-01,Saturday,December
350098,2012-06-11,Monday,June
350099,2012-06-03,Sunday,June
350104,2012-03-26,Monday,March
350105,2012-11-25,Sunday,November
350106,2012-12-20,Thursday,December
350108,2012-08-30,Thursday,August
350109,2012-11-10,Saturday,November
350115,2012-04-04,Wednesday,April
350117,2012-07-22,Sunday,July
350122,2012-12-24,Monday,December
350123,2012-01-19,Thursday,January
350127,2012-07-05,Thursday,July
350133,2012-10-27,Saturday,October
350135,2012-07-25,Wednesday,July
350137,2012-06-27,Wednesday,June
350141,2012-11-03,Saturday,November
350143,2012-08-18,Saturday,August
350144,2012-02-05,Sunday,February
350145,2012-06-15,Friday,June
350146,2012-11-18,Sunday,November
350147,2012-05-31,Thursday,May
350153,2012-07-21,Saturday,July
350155,2012-03-03,Saturday,March
350157,2012-03-18,Sunday,March
350158,2012-02-24,Friday,February
350159,2012-11-11,Sunday,November
350163,2012-06-10,Sunday,June
350166,2012-03-04,Sunday,March
350167,2012-12-04,Tuesday,December
350170,2012-06-18,Monday,June
350172,2012-07-27,Friday,July
350183,2012-09-30,Sunday,September
350193,2012-12-06,Thursday,December
350194,2012-09-19,Wednesday,September
350195,2012-01-26,Thursday,January
350197,2012-05-25,Friday,May
350201,2012-07-23,Monday,July
350208,2012-04-14,Saturday,April
350215,2012-03-06,Tuesday,March
350216,2012-12-15,Saturday,December
350217,2012-01-30,Monday,January
350218,2012-02-01,Wednesday,February
350219,2012-10-06,Saturday,October
350223,2012-08-07,Tuesday,August
350227,2012-11-26,Monday,November
350230,2012-09-16,Sunday,September
350238,2012-05-02,Wednesday,May
350250,2012-06-12,Tuesday,June
350269,2012-11-05,Monday,November
350272,2012-07-12,Thursday,July
350274,2012-12-03,Monday,December
350275,2012-03-01,Thursday,March
350278,2012-04-21,Saturday,April
350285,2012-10-18,Thursday,October
350300,2012-09-18,Tuesday,September
350303,2012-07-15,Sunday,July
350306,2012-10-15,Monday,October
350317,2012-08-01,Wednesday,August
350319,2012-07-16,Monday,July
350325,2012-05-06,Sunday,May
350328,2012-04-20,Friday,April
350330,2012-05-28,Monday,May
350332,2012-02-16,Thursday,February
350333,2012-06-01,Friday,June
350338,2012-04-13,Friday,April
350344,2012-09-11,Tuesday,September
350345,2012-01-18,Wednesday,January
350363,2012-05-22,Tuesday,May
350367,2012-12-29,Saturday,December
350374,2012-09-21,Friday,September
350376,2012-02-26,Sunday,February
350381,2012-10-17,Wednesday,October
350386,2012-08-08,Wednesday,August
350388,2012-12-22,Saturday,December
350397,2012-07-03,Tuesday,July
350410,2012-12-18,Tuesday,December
350411,2012-01-01,Sunday,January
350425,2012-07-11,Wednesday,July
350427,2012-10-11,Thursday,October
350432,2012-06-23,Saturday,June
350439,2012-10-10,Wednesday,October
350440,2012-09-13,Thursday,September
350447,2012-12-12,Wednesday,December
350459,2012-10-28,Sunday,October
350462,2012-07-19,Thursday,July
350464,2012-06-13,Wednesday,June
350469,2012-02-20,Monday,February
350476,2012-02-07,Tuesday,February
350479,2012-08-22,Wednesday,August
350480,2012-05-29,Tuesday,May
350481,2012-04-01,Sunday,April
350485,2012-11-12,Monday,November
350488,2012-11-22,Thursday,November
350497,2012-03-07,Wednesday,March
350498,2012-05-27,Sunday,May
350501,2012-03-21,Wednesday,March
350535,2012-02-23,Thursday,February
350545,2012-08-06,Monday,August
350548,2012-09-23,Sunday,September
350560,2012-01-25,Wednesday,January
350581,2012-12-02,Sunday,December
350584,2012-05-16,Wednesday,May
350600,2012-09-25,Tuesday,September
350604,2012-02-08,Wednesday,February
350610,2012-09-15,Saturday,September
350615,2012-10-14,Sunday,October
350617,2012-07-20,Friday,July
350625,2012-02-02,Thursday,February
350638,2012-08-12,Sunday,August
350649,2012-02-09,Thursday,February
350666,2012-11-28,Wednesday,November
350667,2012-02-28,Tuesday,February
350687,2012-04-30,Monday,April
350715,2012-10-19,Friday,October
350751,2012-04-19,Thursday,April
350755,2012-01-29,Sunday,January
350787,2012-04-29,Sunday,April
350799,2012-03-02,Friday,March
350805,2012-11-27,Tuesday,November
350813,2012-02-22,Wednesday,February
350826,2012-02-19,Sunday,February
350841,2012-06-02,Saturday,June
350842,2012-08-14,Tuesday,August
350851,2012-12-08,Saturday,December
350875,2012-08-15,Wednesday,August
350887,2012-05-13,Sunday,May
350893,2012-09-24,Monday,September
350896,2012-05-09,Wednesday,May
350906,2012-08-28,Tuesday,August
350913,2012-10-01,Monday,October
350974,2012-12-07,Friday,December
350992,2012-07-31,Tuesday,July
351008,2012-01-16,Monday,January
351090,2012-05-23,Wednesday,May
351124,2012-06-05,Tuesday,June
351147,2012-07-04,Wednesday,July
351245,2012-08-02,Thursday,August
351277,2012-08-29,Wednesday,August
351297,2012-07-14,Saturday,July
351459,2012-09-04,Tuesday,September
351474,2012-08-05,Sunday,August
351480,2012-05-17,Thursday,May
351544,2012-01-31,Tuesday,January
351550,2012-09-26,Wednesday,September
351813,2012-04-25,Wednesday,April
352222,2012-07-10,Tuesday,July
352373,2012-01-05,Thursday,January
378954,2013-06-22,Saturday,June
378955,2013-07-05,Friday,July
378956,2013-07-31,Wednesday,July
378957,2013-08-11,Sunday,August
378958,2013-08-21,Wednesday,August
378959,2013-08-24,Saturday,August
378960,2013-09-09,Monday,September
378961,2013-09-10,Tuesday,September
378962,2013-09-20,Friday,September
378963,2013-09-21,Saturday,September
378964,2013-09-22,Sunday,September
378965,2013-09-29,Sunday,September
378966,2013-10-13,Sunday,October
378967,2013-10-14,Monday,October
378968,2013-05-08,Wednesday,May
378969,2013-09-15,Sunday,September
378970,2013-05-12,Sunday,May
378971,2013-06-28,Friday,June
378972,2013-10-17,Thursday,October
378973,2013-10-20,Sunday,October
378975,2013-10-30,Wednesday,October
378976,2013-11-07,Thursday,November
378977,2013-11-09,Saturday,November
378978,2013-11-11,Monday,November
378979,2013-11-25,Monday,November
378980,2013-12-26,Thursday,December
378981,2013-06-10,Monday,June
378982,2013-04-15,Monday,April
378984,2013-08-04,Sunday,August
378985,2013-05-15,Wednesday,May
378987,2013-02-15,Friday,February
378988,2013-10-02,Wednesday,October
378989,2013-02-09,Saturday,February
378990,2013-10-31,Thursday,October
378991,2013-05-19,Sunday,May
378992,2013-06-21,Friday,June
378993,2013-03-23,Saturday,March
378994,2013-12-06,Friday,December
378995,2013-08-16,Friday,August
378996,2013-04-17,Wednesday,April
378997,2013-06-24,Monday,June
378998,2013-08-17,Saturday,August
378999,2013-07-23,Tuesday,July
379000,2013-06-02,Sunday,June
379001,2013-03-08,Friday,March
379002,2013-10-26,Saturday,October
379003,2013-10-25,Friday,October
379004,2013-04-03,Wednesday,April
379005,2013-04-05,Friday,April
379006,2013-07-21,Sunday,July
379007,2013-12-09,Monday,December
379008,2013-12-27,Friday,December
379009,2013-04-18,Thursday,April
379010,2013-07-19,Friday,July
379011,2013-01-02,Wednesday,January
379012,2013-07-04,Thursday,July
379013,2013-03-17,Sunday,March
379014,2013-10-07,Monday,October
379015,2013-04-30,Tuesday,April
379016,2013-02-10,Sunday,February
379017,2013-05-23,Thursday,May
379019,2013-05-27,Monday,May
379020,2013-12-13,Friday,December
379021,2013-05-03,Friday,May
379022,2013-12-19,Thursday,December
379023,2013-12-28,Saturday,December
379024,2013-07-29,Monday,July
379025,2013-02-19,Tuesday,February
379026,2013-11-24,Sunday,November
379027,2013-07-16,Tuesday,July
379029,2013-07-02,Tuesday,July
379030,2013-02-17,Sunday,February
379031,2013-07-11,Thursday,July
379032,2013-04-13,Saturday,April
379033,2013-12-24,Tuesday,December
379034,2013-08-23,Friday,August
379035,2013-09-01,Sunday,September
379036,2013-05-17,Friday,May
379037,2013-08-22,Thursday,August
379039,2013-11-23,Saturday,November
379040,2013-06-11,Tuesday,June
379041,2013-06-04,Tuesday,June
379042,2013-05-26,Sunday,May
379045,2013-06-19,Wednesday,June
379046,2013-06-13,Thursday,June
379047,2013-12-25,Wednesday,December
379048,2013-01-10,Thursday,January
379049,2013-11-05,Tuesday,November
379050,2013-04-19,Friday,April
379051,2013-01-16,Wednesday,January
379052,2013-11-16,Saturday,November
379053,2013-01-21,Monday,January
379054,2013-09-23,Monday,September
379056,2013-04-27,Saturday,April
379058,2013-01-24,Thursday,January
379059,2013-12-10,Tuesday,December
379060,2013-10-24,Thursday,October
379061,2013-12-23,Monday,December
379062,2013-10-21,Monday,October
379063,2013-05-07,Tuesday,May
379064,2013-01-22,Tuesday,January
379065,2013-02-26,Tuesday,February
379066,2013-10-06,Sunday,October
379067,2013-09-18,Wednesday,September
379068,2013-03-12,Tuesday,March
379069,2013-06-07,Friday,June
379070,2013-08-02,Friday,August
379071,2013-09-30,Monday,September
379074,2013-12-04,Wednesday,December
379075,2013-05-31,Friday,May
379076,2013-10-11,Friday,October
379077,2013-06-18,Tuesday,June
379078,2013-03-25,Monday,March
379080,2013-04-16,Tuesday,April
379081,2013-06-20,Thursday,June
379082,2013-06-05,Wednesday,June
379083,2013-03-04,Monday,March
379086,2013-09-14,Saturday,September
379088,2013-01-01,Tuesday,January
379093,2013-03-18,Monday,March
379095,2013-10-15,Tuesday,October
379097,2013-11-20,Wednesday,November
379098,2013-08-06,Tuesday,August
379099,2013-01-18,Friday,January
379100,2013-07-13,Saturday,July
379101,2013-02-22,Friday,February
379104,2013-12-07,Saturday,December
379107,2013-08-18,Sunday,August
379108,2013-02-06,Wednesday,February
379109,2013-01-12,Saturday,January
379110,2013-01-20,Sunday,January
379112,2013-07-10,Wednesday,July
379116,2013-01-25,Friday,January
379117,2013-06-25,Tuesday,June
379118,2013-08-09,Friday,August
379120,2013-09-16,Monday,September
379121,2013-06-29,Saturday,June
379123,2013-04-01,Monday,April
379124,2013-03-02,Saturday,March
379126,2013-09-25,Wednesday,September
379130,2013-03-14,Thursday,March
379131,2013-01-26,Saturday,January
379132,2013-11-01,Friday,November
379133,2013-09-07,Saturday,September
379134,2013-11-19,Tuesday,November
379136,2013-03-29,Friday,March
379137,2013-05-14,Tuesday,May
379139,2013-03-07,Thursday,March
379140,2013-03-11,Monday,March
379142,2013-09-24,Tuesday,September
379143,2013-05-21,Tuesday,May
379144,2013-11-26,Tuesday,November
379148,2013-01-30,Wednesday,January
379150,2013-02-02,Saturday,February
379151,2013-10-23,Wednesday,October
379156,2013-09-11,Wednesday,September
379157,2013-02-05,Tuesday,February
379158,2013-03-31,Sunday,March
379159,2013-09-06,Friday,September
379160,2013-05-22,Wednesday,May
379162,2013-11-18,Monday,November
379163,2013-11-17,Sunday,November
379164,2013-11-13,Wednesday,November
379169,2013-05-16,Thursday,May
379171,2013-12-29,Sunday,December
379172,2013-05-09,Thursday,May
379175,2013-11-15,Friday,November
379179,2013-02-25,Monday,February
379180,2013-05-28,Tuesday,May
379181,2013-03-05,Tuesday,March
379182,2013-09-08,Sunday,September
379183,2013-02-14,Thursday,February
379185,2013-05-20,Monday,May
379190,2013-11-29,Friday,November
379196,2013-08-26,Monday,August
379199,2013-04-02,Tuesday,April
379203,2013-04-14,Sunday,April
379204,2013-01-05,Saturday,January
379207,2013-11-22,Friday,November
379209,2013-12-22,Sunday,December
379210,2013-04-22,Monday,April
379213,2013-12-11,Wednesday,December
379214,2013-03-03,Sunday,March
379218,2013-10-29,Tuesday,October
379222,2013-11-02,Saturday,November
379223,2013-07-17,Wednesday,July
379225,2013-01-28,Monday,January
379226,2013-07-07,Sunday,July
379228,2013-04-25,Thursday,April
379229,2013-12-05,Thursday,December
379231,2013-01-09,Wednesday,January
379233,2013-04-11,Thursday,April
379235,2013-03-01,Friday,March
379239,2013-02-01,Friday,February
379243,2013-06-01,Saturday,June
379244,2013-02-07,Thursday,February
379248,2013-03-06,Wednesday,March
379249,2013-02-16,Saturday,February
379252,2013-08-19,Monday,August
379255,2013-06-14,Friday,June
379258,2013-08-28,Wednesday,August
379259,2013-07-12,Friday,July
379261,2013-01-11,Friday,January
379265,2013-01-13,Sunday,January
379268,2013-01-06,Sunday,January
379269,2013-04-23,Tuesday,April
379271,2013-12-20,Friday,December
379272,2013-03-26,Tuesday,March
379274,2013-12-30,Monday,December
379277,2013-11-06,Wednesday,November
379279,2013-02-12,Tuesday,February
379280,2013-05-30,Thursday,May
379281,2013-07-27,Saturday,July
379282,2013-12-08,Sunday,December
379283,2013-04-20,Saturday,April
379287,2013-01-04,Friday,January
379288,2013-12-31,Tuesday,December
379289,2013-04-08,Monday,April
379292,2013-10-09,Wednesday,October
379293,2013-08-08,Thursday,August
379294,2013-03-30,Saturday,March
379298,2013-09-19,Thursday,September
379300,2013-05-25,Saturday,May
379301,2013-07-09,Tuesday,July
379303,2013-01-23,Wednesday,January
379304,2013-05-29,Wednesday,May
379306,2013-10-05,Saturday,October
379309,2013-08-01,Thursday,August
379311,2013-08-29,Thursday,August
379314,2013-02-11,Monday,February
379318,2013-12-03,Tuesday,December
379321,2013-02-27,Wednesday,February
379322,2013-12-12,Thursday,December
379323,2013-07-03,Wednesday,July
379324,2013-06-27,Thursday,June
379328,2013-07-08,Monday,July
379336,2013-11-10,Sunday,November
379339,2013-08-13,Tuesday,August
379355,2013-06-16,Sunday,June
379356,2013-11-04,Monday,November
379358,2013-10-01,Tuesday,October
379361,2013-06-09,Sunday,June
379364,2013-11-03,Sunday,November
379369,2013-07-01,Monday,July
379371,2013-07-24,Wednesday,July
379373,2013-12-15,Sunday,December
379377,2013-10-08,Tuesday,October
379379,2013-02-24,Sunday,February
379380,2013-01-08,Tuesday,January
379384,2013-12-16,Monday,December
379386,2013-04-28,Sunday,April
379394,2013-08-07,Wednesday,August
379396,2013-03-28,Thursday,March
379397,2013-08-14,Wednesday,August
379404,2013-03-13,Wednesday,March
379405,2013-03-22,Friday,March
379407,2013-10-12,Saturday,October
379412,2013-05-06,Monday,May
379413,2013-04-29,Monday,April
379416,2013-05-11,Saturday,May
379419,2013-02-20,Wednesday,February
379421,2013-03-27,Wednesday,March
379423,2013-10-19,Saturday,October
379426,2013-07-20,Saturday,July
379428,2013-08-30,Friday,August
379433,2013-11-12,Tuesday,November
379435,2013-08-10,Saturday,August
379440,2013-01-19,Saturday,January
379443,2013-05-18,Saturday,May
379455,2013-10-22,Tuesday,October
379459,2013-07-18,Thursday,July
379463,2013-12-14,Saturday,December
379473,2013-04-06,Saturday,April
379474,2013-06-15,Saturday,June
379475,2013-04-12,Friday,April
379478,2013-08-12,Monday,August
379479,2013-12-17,Tuesday,December
379484,2013-08-25,Sunday,August
379486,2013-03-15,Friday,March
379488,2013-09-04,Wednesday,September
379494,2013-03-21,Thursday,March
379499,2013-03-09,Saturday,March
379502,2013-07-06,Saturday,July
379504,2013-06-17,Monday,June
379509,2013-08-05,Monday,August
379524,2013-03-16,Saturday,March
379527,2013-04-10,Wednesday,April
379528,2013-06-08,Saturday,June
379534,2013-07-26,Friday,July
379535,2013-10-16,Wednesday,October
379539,2013-09-26,Thursday,September
379541,2013-09-13,Friday,September
379549,2013-09-17,Tuesday,September
379551,2013-06-23,Sunday,June
379557,2013-06-30,Sunday,June
379561,2013-07-25,Thursday,July
379562,2013-09-03,Tuesday,September
379563,2013-09-27,Friday,September
379569,2013-11-28,Thursday,November
379579,2013-01-07,Monday,January
379582,2013-08-31,Saturday,August
379585,2013-02-18,Monday,February
379590,2013-08-03,Saturday,August
379595,2013-04-21,Sunday,April
379608,2013-09-02,Monday,September
379612,2013-11-30,Saturday,November
379613,2013-02-28,Thursday,February
379629,2013-11-21,Thursday,November
379635,2013-05-10,Friday,May
379646,2013-07-28,Sunday,July
379650,2013-01-31,Thursday,January
379655,2013-05-04,Saturday,May
379656,2013-05-05,Sunday,May
379676,2013-02-04,Monday,February
379679,2013-08-15,Thursday,August
379680,2013-01-03,Thursday,January
379696,2013-12-01,Sunday,December
379710,2013-12-21,Saturday,December
379721,2013-05-24,Friday,May
379722,2013-09-12,Thursday,September
379728,2013-11-08,Friday,November
379750,2013-01-15,Tuesday,January
379756,2013-11-27,Wednesday,November
379759,2013-01-17,Thursday,January
379764,2013-03-20,Wednesday,March
379767,2013-07-22,Monday,July
379781,2013-07-15,Monday,July
379782,2013-01-27,Sunday,January
379785,2013-11-14,Thursday,November
379787,2013-07-30,Tuesday,July
379805,2013-04-09,Tuesday,April
379822,2013-02-03,Sunday,February
379832,2013-06-06,Thursday,June
379833,2013-05-02,Thursday,May
379836,2013-10-27,Sunday,October
379873,2013-04-26,Friday,April
379907,2013-08-20,Tuesday,August
379937,2013-03-19,Tuesday,March
379944,2013-05-13,Monday,May
379947,2013-12-18,Wednesday,December
379953,2013-10-28,Monday,October
379964,2013-04-04,Thursday,April
379998,2013-02-13,Wednesday,February
380012,2013-05-01,Wednesday,May
380013,2013-09-05,Thursday,September
380021,2013-07-14,Sunday,July
380029,2013-10-18,Friday,October
380041,2013-06-26,Wednesday,June
380044,2013-08-27,Tuesday,August
380047,2013-04-07,Sunday,April
380068,2013-01-29,Tuesday,January
380113,2013-02-23,Saturday,February
380144,2013-06-12,Wednesday,June
380150,2013-10-10,Thursday,October
380230,2013-01-14,Monday,January
380238,2013-06-03,Monday,June
380251,2013-02-21,Thursday,February
380277,2013-02-08,Friday,February
380318,2013-12-02,Monday,December
380375,2013-10-03,Thursday,October
380541,2013-10-04,Friday,October
380761,2013-09-28,Saturday,September
380937,2013-03-24,Sunday,March
381511,2013-03-10,Sunday,March
382178,2013-04-24,Wednesday,April
408010,2014-12-06,Saturday,December
408011,2014-07-16,Wednesday,July
408012,2014-11-28,Friday,November
408013,2014-11-09,Sunday,November
408014,2014-01-22,Wednesday,January
408015,2014-02-02,Sunday,February
408016,2014-03-07,Friday,March
408017,2014-05-14,Wednesday,May
408018,2014-06-18,Wednesday,June
408019,2014-07-09,Wednesday,July
408020,2014-07-10,Thursday,July
408021,2014-04-03,Thursday,April
408022,2014-09-05,Friday,September
408023,2014-06-23,Monday,June
408024,2014-10-28,Tuesday,October
408025,2014-09-24,Wednesday,September
408026,2014-09-22,Monday,September
408027,2014-09-09,Tuesday,September
408028,2014-09-07,Sunday,September
408029,2014-10-30,Thursday,October
408030,2014-09-02,Tuesday,September
408031,2014-05-05,Monday,May
408032,2014-08-30,Saturday,August
408033,2014-09-27,Saturday,September
408034,2014-08-19,Tuesday,August
408035,2014-12-13,Saturday,December
408036,2014-08-04,Monday,August
408038,2014-07-31,Thursday,July
408040,2014-02-20,Thursday,February
408041,2014-03-02,Sunday,March
408043,2014-03-06,Thursday,March
408044,2014-03-22,Saturday,March
408046,2014-08-14,Thursday,August
408047,2014-09-13,Saturday,September
408048,2014-07-02,Wednesday,July
408049,2014-07-12,Saturday,July
408051,2014-11-14,Friday,November
408052,2014-06-29,Sunday,June
408053,2014-06-26,Thursday,June
408054,2014-02-18,Tuesday,February
408055,2014-09-26,Friday,September
408057,2014-08-24,Sunday,August
408058,2014-05-11,Sunday,May
408060,2014-10-19,Sunday,October
408061,2014-03-04,Tuesday,March
408062,2014-08-31,Sunday,August
408066,2014-10-16,Thursday,October
408067,2014-11-27,Thursday,November
408068,2014-10-07,Tuesday,October
408070,2014-08-01,Friday,August
408073,2014-04-22,Tuesday,April
408074,2014-01-26,Sunday,January
408075,2014-07-01,Tuesday,July
408076,2014-06-12,Thursday,June
408077,2014-01-17,Friday,January
408078,2014-10-24,Friday,October
408079,2014-09-17,Wednesday,September
408080,2014-08-17,Sunday,August
408081,2014-01-14,Tuesday,January
408083,2014-12-27,Saturday,December
408084,2014-10-02,Thursday,October
408085,2014-06-21,Saturday,June
408086,2014-09-28,Sunday,September
408087,2014-05-28,Wednesday,May
408088,2014-05-20,Tuesday,May
408089,2014-07-08,Tuesday,July
408090,2014-03-21,Friday,March
408091,2014-06-09,Monday,June
408092,2014-05-19,Monday,May
408093,2014-11-17,Monday,November
408094,2014-11-15,Saturday,November
408096,2014-10-18,Saturday,October
408097,2014-09-29,Monday,September
408098,2014-05-18,Sunday,May
408099,2014-04-26,Saturday,April
408102,2014-11-25,Tuesday,November
408104,2014-01-09,Thursday,January
408105,2014-05-15,Thursday,May
408106,2014-02-19,Wednesday,February
408107,2014-07-28,Monday,July
408109,2014-04-14,Monday,April
408110,2014-04-08,Tuesday,April
408111,2014-02-21,Friday,February
408112,2014-01-30,Thursday,January
408114,2014-07-24,Thursday,July
408115,2014-12-07,Sunday,December
408116,2014-01-29,Wednesday,January
408119,2014-12-03,Wednesday,December
408122,2014-04-13,Sunday,April
408124,2014-10-12,Sunday,October
408128,2014-09-14,Sunday,September
408129,2014-07-22,Tuesday,July
408130,2014-05-26,Monday,May
408131,2014-11-18,Tuesday,November
408133,2014-05-17,Saturday,May
408135,2014-09-30,Tuesday,September
408136,2014-07-19,Saturday,July
408138,2014-05-31,Saturday,May
408139,2014-10-25,Saturday,October
408140,2014-12-10,Wednesday,December
408141,2014-08-16,Saturday,August
408143,2014-03-24,Monday,March
408145,2014-12-17,Wednesday,December
408146,2014-11-19,Wednesday,November
408147,2014-01-27,Monday,January
408152,2014-11-23,Sunday,November
408153,2014-06-27,Friday,June
408156,2014-10-31,Friday,October
408159,2014-04-19,Saturday,April
408166,2014-04-10,Thursday,April
408167,2014-09-06,Saturday,September
